===============================================================
 [ 종합 RMSE 비교 요약: 거리별 (m) ]
===============================================================
Dist(m)    | Prop             | MUSIC            | LSTM             | MLP              | KF               | 1D-CNN
--------------------------------------------------------------------------------------------------------------------
       0 | 1.2189           | 0.9389           | 23.0914          | 29.0095          | 29.3288          | 37.2226
      10 | 0.7169           | 0.9443           | 23.4334          | 28.0683          | 28.3715          | 37.0098
      20 | 0.6748           | 0.9579           | 22.1843          | 27.2015          | 27.4858          | 36.1470
      30 | 0.6384           | 1.0125           | 20.6664          | 26.5178          | 26.7888          | 35.0957
      40 | 0.6020           | 1.0574           | 19.1785          | 26.1764          | 26.4246          | 34.1226
      50 | 0.5515           | 1.0888           | 17.8853          | 25.1086          | 25.3314          | 32.5878
      60 | 0.5279           | 1.1689           | 16.1459          | 23.9571          | 24.1689          | 30.9277
      70 | 0.4897           | 1.2444           | 14.7286          | 23.0166          | 23.2121          | 29.2552
      80 | 0.4624           | 1.3285           | 13.2886          | 22.2853          | 22.4686          | 28.2508
      90 | 0.4502           | 1.3746           | 12.4268          | 21.9419          | 22.1216          | 27.7922
     100 | 0.4258           | 1.4994           | 10.7236          | 20.6226          | 20.7938          | 25.9567
     110 | 0.3997           | 1.6261           | 9.4231           | 19.9762          | 20.1470          | 24.6122
     120 | 0.3955           | 1.7360           | 8.3134           | 19.0584          | 19.2267          | 23.2686
     130 | 0.3939           | 1.7993           | 7.6150           | 18.6888          | 18.8569          | 22.7142
     140 | 0.3836           | 1.9411           | 6.5863           | 18.1376          | 18.3010          | 21.1164
     150 | 0.3870           | 2.0272           | 6.0130           | 17.1864          | 17.3553          | 20.4284
     160 | 0.3857           | 2.1468           | 5.3982           | 16.9921          | 17.1687          | 19.5934
     170 | 0.3926           | 2.2560           | 4.8745           | 16.6254          | 16.8122          | 19.0379
     180 | 0.3979           | 2.3888           | 4.4182           | 16.1661          | 16.3523          | 17.9102
     190 | 0.4013           | 2.4773           | 4.1551           | 15.7928          | 15.9870          | 17.7540
     200 | 0.4077           | 2.5984           | 3.8974           | 16.6773          | 16.8896          | 18.3052
     210 | 0.4200           | 2.7259           | 3.6384           | 15.9430          | 16.1585          | 17.5970
     220 | 0.4240           | 2.8267           | 3.5090           | 15.8474          | 16.0711          | 17.1753
     230 | 0.4344           | 2.9667           | 3.4085           | 15.4304          | 15.6579          | 16.6375
     240 | 0.4448           | 3.0831           | 3.3540           | 15.8333          | 16.0843          | 16.9233
     250 | 0.4512           | 3.1995           | 3.3433           | 15.7463          | 16.0037          | 16.5917
     260 | 0.4582           | 3.3133           | 3.3307           | 15.9758          | 16.2588          | 16.5029
     270 | 0.4721           | 3.4375           | 3.3361           | 15.6226          | 15.9025          | 16.5113
     280 | 0.4832           | 3.5627           | 3.3305           | 15.9515          | 16.2495          | 16.5635
     290 | 0.4868           | 3.6569           | 3.3361           | 15.8997          | 16.2095          | 16.2645
     300 | 0.5000           | 3.7974           | 3.4058           | 15.7260          | 16.0493          | 16.2984
     310 | 0.5126           | 3.9163           | 3.3667           | 16.3991          | 16.7395          | 16.5159
     320 | 0.5219           | 4.0403           | 3.4387           | 16.1707          | 16.5171          | 16.5028
     330 | 0.5308           | 4.1443           | 3.4834           | 16.6321          | 16.9949          | 17.0810
     340 | 0.5410           | 4.2710           | 3.4036           | 16.7462          | 17.1331          | 16.9619
     350 | 0.5528           | 4.4016           | 3.4426           | 17.0920          | 17.4891          | 17.0134
     360 | 0.5645           | 4.5177           | 3.4848           | 16.7291          | 17.1299          | 16.6962
     370 | 0.5746           | 4.6461           | 3.4557           | 17.0574          | 17.4594          | 17.0096
     380 | 0.5860           | 4.7662           | 3.5136           | 17.2962          | 17.7208          | 17.2665
     390 | 0.5938           | 4.8877           | 3.4646           | 17.5252          | 17.9593          | 17.4699
     400 | 0.6071           | 5.0023           | 3.6665           | 18.5194          | 18.9738          | 18.3288
     410 | 0.6160           | 5.1303           | 3.6883           | 19.0011          | 19.4834          | 18.8269
     420 | 0.6248           | 5.2158           | 3.6067           | 18.8091          | 19.2653          | 18.4802
     430 | 0.6425           | 5.3738           | 3.6855           | 18.9114          | 19.4059          | 18.7060
     440 | 0.6449           | 5.4966           | 3.7331           | 19.1697          | 19.6777          | 18.9099
     450 | 0.6646           | 5.6095           | 3.7449           | 20.0300          | 20.5625          | 19.2394
     460 | 0.6761           | 5.7368           | 3.9472           | 20.2947          | 20.8263          | 20.2031
     470 | 0.6917           | 5.8403           | 3.9594           | 21.0414          | 21.5881          | 20.4956
     480 | 0.7047           | 5.9812           | 4.0172           | 21.2625          | 21.8139          | 21.1035
     490 | 0.7281           | 6.0977           | 4.0380           | 21.3986          | 21.9668          | 21.3713
     500 | 0.7624           | 6.2178           | 4.2921           | 22.4009          | 22.9778          | 22.9213
     510 | 0.7799           | 6.3254           | 4.4960           | 23.3599          | 23.9354          | 23.4083
     520 | 0.7944           | 6.4471           | 4.6166           | 23.8382          | 24.4383          | 23.9787
     530 | 0.8367           | 6.5928           | 4.7583           | 24.6811          | 25.3040          | 24.8991
     540 | 0.8997           | 6.7050           | 5.0847           | 25.6126          | 26.2326          | 25.9380
     550 | 0.9040           | 6.8205           | 5.1711           | 25.5330          | 26.1313          | 26.4426
     560 | 0.9767           | 6.9574           | 5.5640           | 27.4057          | 28.0393          | 28.4148
     570 | 1.0507           | 7.0833           | 5.6569           | 28.2037          | 28.8476          | 29.4330
     580 | 1.1938           | 7.2271           | 6.4200           | 30.3915          | 31.0481          | 32.1103
     590 | 1.2432           | 7.3300           | 6.4805           | 30.4343          | 31.1012          | 32.8139
     600 | 1.2949           | 7.4287           | 6.6143           | 30.9759          | 31.6425          | 33.5862


===============================================================
 [ 종합 RMSE 비교 요약: TDOA 평균 바이어스별 (us) ]
===============================================================
Bias(us)   | Prop             | MUSIC            | LSTM             | MLP              | KF               | 1D-CNN
--------------------------------------------------------------------------------------------------------------------
       0 | 0.6044           | 4.9881           | 3.6403           | 18.3855          | 18.8425          | 18.0795
       1 | 0.6056           | 5.0051           | 3.5688           | 18.3340          | 18.7959          | 18.0819
       2 | 0.6086           | 5.0127           | 3.5757           | 18.0801          | 18.5312          | 17.9893
       3 | 0.6040           | 4.9971           | 3.6129           | 18.5067          | 18.9586          | 18.2060
       4 | 0.6055           | 5.0016           | 3.5887           | 18.4089          | 18.8489          | 17.7401
       5 | 0.6056           | 4.9828           | 3.5885           | 18.2778          | 18.7310          | 18.0129
       6 | 0.6063           | 4.9781           | 3.4364           | 18.4107          | 18.8632          | 17.8231
       7 | 0.6088           | 5.0155           | 3.5539           | 19.0415          | 19.5114          | 18.0567
       8 | 0.6067           | 5.0083           | 3.5766           | 18.8106          | 19.2627          | 17.7948
       9 | 0.6099           | 4.9995           | 3.6688           | 19.4395          | 19.9082          | 18.3001
      10 | 0.6060           | 4.9815           | 3.6260           | 19.4668          | 19.8952          | 18.1116
      11 | 0.6100           | 5.0394           | 3.6455           | 20.4751          | 20.9299          | 18.6119
      12 | 0.6107           | 5.0023           | 3.6156           | 20.3555          | 20.8080          | 18.5693
      13 | 0.6068           | 4.9900           | 3.6529           | 21.3174          | 21.7844          | 18.6620
      14 | 0.6076           | 5.0111           | 3.6432           | 20.7672          | 21.2225          | 18.6766
      15 | 0.6072           | 4.9841           | 3.6457           | 21.2409          | 21.7052          | 18.5584
      16 | 0.6153           | 5.0073           | 3.5521           | 21.5993          | 22.0508          | 18.5016
      17 | 0.6111           | 4.9953           | 3.6031           | 22.6452          | 23.1127          | 18.8220
      18 | 0.6187           | 4.9822           | 3.5716           | 23.0089          | 23.4684          | 19.0769
      19 | 0.6169           | 5.0318           | 3.6000           | 23.3225          | 23.7829          | 19.3038
      20 | 0.6157           | 5.0191           | 3.6174           | 23.0164          | 23.4635          | 19.0063
      21 | 0.6174           | 5.0122           | 3.6947           | 24.2999          | 24.7578          | 19.4712
      22 | 0.6258           | 4.9932           | 3.6559           | 25.1521          | 25.6102          | 19.8511
      23 | 0.6291           | 5.0063           | 3.6694           | 26.1151          | 26.5960          | 19.7609
      24 | 0.6295           | 5.0140           | 3.6684           | 24.8600          | 25.3103          | 19.5187
      25 | 0.6349           | 5.0099           | 3.6280           | 26.7015          | 27.1786          | 20.0660
      26 | 0.6413           | 4.9898           | 3.5860           | 26.7660          | 27.2335          | 20.0314
      27 | 0.6452           | 5.0189           | 3.6049           | 28.3381          | 28.8067          | 20.4267
      28 | 0.6781           | 5.0047           | 3.6664           | 29.3035          | 29.7649          | 20.7557
      29 | 0.6865           | 5.0130           | 3.6067           | 29.3788          | 29.8522          | 20.7075
      30 | 0.6600           | 5.0095           | 3.6746           | 30.3233          | 30.8126          | 20.9812
      31 | 0.6661           | 4.9925           | 3.6911           | 30.7750          | 31.2548          | 21.2483
      32 | 0.7239           | 5.0178           | 3.7647           | 30.2271          | 30.7122          | 21.0444
      33 | 0.7135           | 5.0116           | 3.7467           | 33.2026          | 33.6969          | 21.3606
      34 | 0.7311           | 4.9846           | 3.7576           | 33.9175          | 34.4151          | 21.7290
      35 | 0.7528           | 5.0142           | 3.6829           | 34.3633          | 34.8526          | 22.4547
      36 | 0.7276           | 4.9934           | 3.6997           | 34.2505          | 34.7497          | 21.8205
      37 | 0.8001           | 5.0200           | 3.7778           | 35.7949          | 36.2944          | 22.6069
      38 | 0.7801           | 5.0251           | 3.7061           | 36.1631          | 36.6655          | 22.3616
      39 | 0.8465           | 4.9686           | 3.7076           | 38.5329          | 39.0407          | 22.7500
      40 | 0.8760           | 5.0080           | 3.7852           | 39.7933          | 40.3041          | 23.2405
      41 | 0.8852           | 5.0135           | 3.8034           | 40.4370          | 40.9632          | 23.4245
      42 | 0.9041           | 4.9789           | 3.7686           | 40.5384          | 41.0449          | 23.4831
      43 | 0.9564           | 4.9965           | 3.7528           | 42.5615          | 43.0687          | 24.4320
      44 | 0.9051           | 5.0015           | 3.7994           | 41.6478          | 42.1681          | 24.5668
      45 | 1.0722           | 4.9732           | 3.8188           | 42.4741          | 42.9900          | 24.0053
      46 | 1.0997           | 5.0033           | 3.8163           | 45.1354          | 45.6619          | 25.1461
